exporter_iso,importer_iso,year,trade_value
USA,CHN,1977,171000000
CHN,USA,1977,203000000
USA,CHN,1978,824000000
CHN,USA,1978,324000000
USA,CHN,1979,1700000000
CHN,USA,1979,592000000
USA,CHN,1980,3700000000
CHN,USA,1980,1000000000
USA,CHN,1981,3600000000
CHN,USA,1981,1900000000
USA,CHN,1982,2900000000
CHN,USA,1982,2200000000
USA,CHN,1983,2100000000
CHN,USA,1983,2200000000
USA,CHN,1984,3000000000
CHN,USA,1984,3000000000
USA,CHN,1985,3900000000
CHN,USA,1985,3800000000
USA,CHN,1986,3100000000
CHN,USA,1986,4700000000
USA,CHN,1987,3500000000
CHN,USA,1987,6200000000
USA,CHN,1988,5000000000
CHN,USA,1988,8500000000
USA,CHN,1989,5800000000
CHN,USA,1989,11900000000
USA,CHN,1990,4800000000
CHN,USA,1990,15200000000
USA,CHN,1991,6280000000
CHN,USA,1991,18970000000
USA,CHN,1992,7470000000
CHN,USA,1992,25700000000
USA,CHN,1993,8760000000
CHN,USA,1993,31500000000
USA,CHN,1994,9280000000
CHN,USA,1994,38780000000
USA,CHN,1995,11700000000
CHN,USA,1995,45500000000
USA,CHN,1996,11900000000
CHN,USA,1996,51500000000
USA,CHN,1997,12800000000
CHN,USA,1997,62500000000
USA,CHN,1998,14200000000
CHN,USA,1998,71100000000
USA,CHN,1999,13100000000
CHN,USA,1999,81700000000
USA,CHN,2000,16200000000
CHN,USA,2000,100000000000
USA,CHN,2001,19200000000
CHN,USA,2001,102300000000
USA,CHN,2002,22100000000
CHN,USA,2002,125200000000
USA,CHN,2003,28400000000
CHN,USA,2003,152400000000
USA,CHN,2004,34700000000
CHN,USA,2004,196700000000
USA,CHN,2005,41800000000
CHN,USA,2005,243500000000
USA,CHN,2006,55200000000
CHN,USA,2006,287800000000
USA,CHN,2007,65200000000
CHN,USA,2007,321500000000
USA,CHN,2008,71500000000
CHN,USA,2008,337800000000
USA,CHN,2009,69500000000
CHN,USA,2009,296400000000
USA,CHN,2010,91900000000
CHN,USA,2010,364900000000
USA,CHN,2011,103900000000
CHN,USA,2011,399300000000
USA,CHN,2012,110500000000
CHN,USA,2012,425600000000
USA,CHN,2013,121700000000
CHN,USA,2013,440400000000
USA,CHN,2014,123700000000
CHN,USA,2014,468500000000
USA,CHN,2015,116100000000
CHN,USA,2015,483200000000
USA,CHN,2016,115600000000
CHN,USA,2016,462600000000
USA,CHN,2017,129900000000
CHN,USA,2017,505200000000
USA,CHN,2018,120100000000
CHN,USA,2018,539200000000
USA,CHN,2019,106400000000
CHN,USA,2019,451600000000
USA,CHN,2020,124500000000
CHN,USA,2020,434700000000
USA,CHN,2021,151400000000
CHN,USA,2021,504900000000
USA,CHN,2022,154000000000
CHN,USA,2022,536300000000
USA,CHN,2023,147800000000
CHN,USA,2023,500300000000